f1,f2,f3,f4,f5,Net Quantity,Gross Sales,Discounts,Returns,Total Net Sales
1.0,0.0,0.0,0.0,0.0,2.0,90.0,-2.5,0.0,87.5
0.0,1.0,0.0,0.0,0.0,12.0,528.0,-18.8,0.0,509.2
0.0,0.0,0.0,1.0,0.0,2.0,76.0,0.0,0.0,76.0
0.0,1.0,0.0,0.0,0.0,Ƞˆ,48.0,0.0,0.0,48.0
1.0,0.0,0.0,0.0,0.0,2.0,36.0,0.0,0.0,36.0
0.0,1.0,0.0,0.0,0.0,1.0,220.0,-22.0,0.0,198.0
0.0,1.0,0.0,0.0,0.0,3.0,298.0,0.0,0.0,298.0
1.0,0.0,0.0,0.0,0.0,7.0,1155.0,-47.51,0.0,1107.49
0.0,0.0,0.0,0.0,1.0,13.0,156.0,0.0,0.0,156.0
1.0,0.0,0.0,0.0,0.0,2.0,128.0,-6.41,0.0,121.59
0.0,0.0,0.0,1.0,0.0,1.0,28.0,0.0,0.0,28.0
1.0,0.0,0.0,0.0,0.0,1.0,28.0,0.0,0.0,28.0
0.0,0.0,1.0,0.0,0.0,5.0,1125.0,-22.5,0.0,1102.5
0.0,0.0,0.0,1.0,0.0,2.0,96.0,0.0,0.0,96.0
0.0,1.0,0.0,0.0,0.0,2.0,330.0,0.0,0.0,330.0
0.0,1.0,0.0,0.0,0.0,1.0,116.0,0.0,0.0,116.0
0.0,0.0,0.0,0.0,1.0,1.0,18.0,0.0,0.0,18.0
0.0,0.0,0.0,0.0,1.0,21.0,374.0,-1.39,0.0,372.61
0.0,1.0,0.0,0.0,0.0,0.0,116.0,-23.2,-92.8,0.0
0.0,1.0,0.0,0.0,0.0,1.0,185.0,0.0,8Ɵ̑,185.0
0.0,0.0,0.0,1.0,0.0,8.0,192.0,-9.59,0.0,182.41
0.0,0.0,0.0,0.0,1.0,18.0,360.0,-4.0,0.0,356.0
1.0,0.0,0.0,0.0,0.0,1.0,125.0,0.0,,125.0
0.0,1.0,0.0,0.0,0.0,1.0,68.0,-6.8,,61.2
0.0,1.0,0.0,0.0,0.0,Some college,550.0,-22.0,0.0,528.0
0.0,1.0,0.0,0.0,0.0,3.0,330.0,0.0,0.0,330.0
0.0,1.0,0.0,0.0,0.0,1.0,175.0,0.0,0.0,175.0
0.0,1.0,0.0,0.0,0.0,1.0,185.0,0.0,0.0,185.0
0.0,1.0,0.0,0.0,0.0,1.0,136.0,@λΆ9ǡ,0.0,122.4
0.0,0.0,0.0,1.0,0.0,2.0,56.0,-11.2,0.0,44.8
0.0,0.0,0.0,1.0,0.0,6.0,84.0,0.0,0.0,84.0
